	cnn_score	precision	precision_u8
167	1.5272516e-06	0.6529429848201631	167
168	1.6667551e-06	0.6568647786410524	168
169	1.8186333e-06	0.6607852710751669	169
170	1.9775914e-06	0.6647092259629599	170
171	2.167316e-06	0.6686279823100718	171
172	2.3651696e-06	0.6725521133322022	172
173	2.5826162e-06	0.6764724892262994	173
174	2.8312973e-06	0.6803944225553722	174
175	3.091947e-06	0.6843157487742956	175
176	3.397934e-06	0.6882375284624158	176
177	3.7554985e-06	0.692158524905972	177
178	4.1051467e-06	0.6960784868027559	178
179	4.5143506e-06	0.7000026985553128	179
180	4.93811e-06	0.7039227152256269	180
181	5.433265e-06	0.7078442522194669	181
182	6.0066905e-06	0.7117676684249898	182
183	6.645309e-06	0.7156866760586271	183
184	7.358277e-06	0.719611014782982	184
185	8.163839e-06	0.7235297666167195	185
186	9.033712e-06	0.7274531240955406	186
187	1.0049895e-05	0.7313764347734089	187
188	1.1218097e-05	0.735296736269164	188
189	1.2572896e-05	0.7392161153871004	189
190	1.4131616e-05	0.7431375402103395	190
191	1.5817397e-05	0.7470608668566739	191
192	1.7807297e-05	0.7509813978324038	192
193	2.0174648e-05	0.7549041895873756	193
194	2.2687494e-05	0.7588238572349375	194
195	2.5594567e-05	0.7627486882789396	195
196	2.8880631e-05	0.7666681661086189	196
197	3.264515e-05	0.7705900415962984	197
198	3.6911544e-05	0.7745098467937854	198
199	4.1874904e-05	0.7784330059121669	199
200	4.7622027e-05	0.7823554135907741	200
201	5.4513122e-05	0.7862748621334412	201
202	6.265927e-05	0.7901999123507424	202
203	7.216008e-05	0.7941203119851772	203
204	8.336771e-05	0.7980420682940343	204
205	9.5943185e-05	0.8019648969306326	205
206	0.000111551024	0.8058826763739776	206
207	0.00012885049	0.8098053677190464	207
208	0.00014976555	0.8137297761413442	208
209	0.00017544086	0.8176494470289082	209
210	0.0002054137	0.8215708974145295	210
211	0.00024347045	0.8254924756809371	211
212	0.00028760277	0.8294148378290138	212
213	0.0003444167	0.8333376880325258	213
214	0.00041033927	0.8372581609939532	214
215	0.0004894814	0.8411767297774106	215
216	0.00058855297	0.8451029300161466	216
217	0.0007071462	0.8490224740748233	217
218	0.000855636	0.8529437311570343	218
219	0.0010203526	0.856863898542268	219
220	0.0012387743	0.8607869352387713	220
221	0.0015191865	0.8647074052497202	221
222	0.0018567744	0.8686286427800876	222
223	0.002267075	0.8725501468028406	223
224	0.0028116875	0.8764721206033295	224
225	0.0034360802	0.8803929156920615	225
226	0.0042767567	0.8843163880077419	226
227	0.0053096465	0.8882373800154697	227
228	0.006708412	0.8921595124853152	228
229	0.008537378	0.8960819958757733	229
230	0.01080017	0.9000002966487772	230
231	0.013806814	0.9039217815311726	231
232	0.017811812	0.9078474095193884	232
233	0.022613639	0.9117650909843105	233
234	0.028980844	0.9156867851617616	234
235	0.036988147	0.9196126505178336	235
236	0.046752058	0.9235319883626327	236
237	0.06007311	0.9274524104003161	237
238	0.0771279	0.9313773284022004	238
239	0.10133446	0.9352959504954927	239
240	0.13064513	0.9392205823176476	240
241	0.16755024	0.9431397050866847	241
242	0.210604	0.9470590196072011	242
243	0.26199052	0.9509838602872793	243
244	0.32136187	0.9549043115317666	244
245	0.38973346	0.9588280702174075	245
246	0.4664396	0.9627481800610032	246
247	0.5490834	0.9666685111856961	247
248	0.6226731	0.970591464823868	248
249	0.6921691	0.9745164937872869	249
250	0.76040834	0.9784325310538438	250
251	0.82316047	0.9823572058510582	251
252	0.87052566	0.9862811634970214	252
253	0.91490453	0.9901992635986293	253
254	0.95288277	0.9941193945335383	254
255	0.98755175	0.9980469749665888	255
